PAPX_900.05,Beyond the Beyond
PAPX_900.07,Rap-la-MuuMuu from JumpingFlash! 2
PAPX_900.08,MLB Pennant Race
PAPX_900.10,Crash Bandicoot
PAPX_900.12,Velldeselba Senki: Tsubasa no Kunshou
PAPX_900.13,Princess Maker: Yumemiru Yousei
PAPX_900.14,Love Game's: Wai Wai Tennis
PAPX_900.18,Minna no Golf
PAPX_900.19,Minna no Golf
PAPX_900.20,Koukaku Kidoutai: Ghost in the Shell
PAPX_900.21,Rurouni Kenshin: Meiji Kenkaku Romantan: Juuyuushi Inbou-hen
PAPX_900.22,Yoi Ko to Yoi Otona no. PlayStation Taikenban Vol. 1
PAPX_900.23,Yoi Ko to Yoi Otona no. PlayStation Taikenban Vol. 2
PAPX_900.24,Rurouni Kenshin: Meiji Kenkaku Romantan: Juuyuushi Inbou-hen
PAPX_900.26,Gran Turismo
PAPX_900.28,Bust-A-Groove
PAPX_900.29,Rittai Ninja Katsugeki: Tenchu
PAPX_900.32,XI [sГЎi]
PAPX_900.33,Yarudora Series Vol. 1: Double Cast
PAPX_900.34,Spring Special
PAPX_900.35,Yarudora Series Vol. 1: Double Cast
PAPX_900.36,Yarudora Series Vol. 2: Kisetsu o Dakishimete
PAPX_900.37,XI [sГЎi]
PAPX_900.39,XI [sГЎi]
PAPX_900.40,Play-Pre Vol. 14 (Disc 2) (Legaia Densetsu Trial Version)
PAPX_900.42,Yarudora Series Vol. 3: Sampaguita
PAPX_900.43,Dynamite Soccer 98
PAPX_900.44,Metal Gear Solid (Demo)
PAPX_900.45,Kurashi Iki! Iki! PlayStation Welcome Disc
PAPX_900.46,OverBlood 2
PAPX_900.47,Kagero: Kokumeikan Shinshou
PAPX_900.48,Hanabi: Fantast
PAPX_900.49,Jingle Cats: Love-Para Daisakusen no Maki
PAPX_900.50,B. L. U. E.: Legend of Water
PAPX_900.51,Neon Genesis Evangelion: Original Screen Saver
PAPX_900.52,Lalala PlayStation Trial Disc: 1998 Summer
PAPX_900.53,Klaymen Series
PAPX_900.54,Gran Turismo 2
PAPX_900.55,Legaia Densetsu
PAPX_900.56,PoPoRoGue
PAPX_900.57,PlayStation Comic: 2999-nen no Game Kids
PAPX_900.58,Yarudora
PAPX_900.59,Hyper PlayStation Re-mix 1998 No. 11 (Disc 2)
PAPX_900.60,Dengeki PlayStation D11: Yarudora Series Vol. 3: Sampaguita
PAPX_900.61,Play! '98 Fuyu Taikenban
PAPX_900.62,Play! '98 Fuyu Taikenban
PAPX_900.63,I.Q Final
PAPX_900.65,Tamamayu Monogatari: Dennou Bijutsukan
PAPX_900.70,Crash Bandicoot 3: Buttobi! Sekai Isshuu
PAPX_900.73,Circadia
PAPX_900.76,PlayStation Comic: 2999-nen no Game Kids
PAPX_900.77,Spyro the Dragon (Japan) (Demo)
PAPX_900.78,Spyro the Dragon
PAPX_900.79,Saru! Get You!
PAPX_900.80,Omega Boost
PAPX_900.81,Lord of Monsters
PAPX_900.86,Doko Demo Issho
PAPX_900.88,Back to School Special: PlayStation Demo Disc
PAPX_900.89,Ore no Ryouri
PAPX_900.91,The Legend of Dragoon
PAPX_900.92,PAQA
PAPX_900.93,Arc the Lad III
PAPX_900.94,"Pocket Zanmai: 3 Title Iri Taikenban (PAQA, PokeTan, Pocket Jiman)"
PAPX_900.95,Tokyo Game Show '99 Aki Special Taikenban
PAPX_900.96,Tomba! The Wild Adventures
PAPX_900.97,Alundra 2: Mashinka no Nazo
PAPX_900.98,Robbit mon Dieu
PAPX_900.99,Arc the Lad III
PAPX_901.00,PokeTan
PAPX_901.01,Vib-Ribbon
PAPX_901.02,Vib-Ribbon
PAPX_901.03,The Legend of Dragoon
PAPX_901.04,The Legend of Dragoon
PAPX_901.05,Addie no Okurimono: To Moze from Addie
PAPX_901.06,Chase the Express
PAPX_901.07,Chase the Express
PAPX_901.09,Crash Bandicoot Carnival
PBPX_950.01,Demo One (Version 5)
PBPX_950.02,Interactive CD Sampler Disc Volume 4
PBPX_950.03,Interactive CD Sampler Disk Volume 5 (Rev 1)
PBPX_950.04,Interactive CD Sampler Disc 6
