ALCH_000.04,DuelSaviorDestiny
ALCH_000.08,Aria_-_The_Natural_Tooi_Yume_no_Mirage
ALCH_000.14,Aria_-_The_Origination_Aoi_Hoshi_no_El_Cielo
ARP2_012.01,Armen_Noir
ASPW_754.27,All-Star_Pro_Wrestling_2
CPCS_010.02,Dino_Stalker
CPCS_010.05,Resident_Evil_-_Dead_Aim
CPCS_010.09,Street_Fighter_III_-_3rd_Strike
CPCS_010.20,Monster_Hunter_2
CPCS_010.27,Grand_Theft_Auto_-_Vice_City
CPCS_010.32,SengokuBasara2
CPCS_010.36,SengokuBasaraX
CPCS_010.41,Fate_Unlimited_Codes
CPCS_010.52,Resident_Evil_CODE_Veronica_X
HDUS_975.84,Syphon_Filter_-_Logans_Shadow
KOEI_000.33,SanGokuShiX
KOEI_000.61,SanGokuShiXI
KOEI_001.09,SanGokuShiXI
KOEI_201.23,Warriors_Orochi
KOEI_201.25,Warriors_Orochi
KOEI_201.47,Warriors_Orochi_2
KOEI_SP0.02,SanGokuShiVIII
NAMJ_000.01,Xenosaga_-_Episode_I_-_Der_Wille_zur_Macht
NAMJ_000.02,Xenosaga_-_Episode_I_-_Der_Wille_zur_Macht
PAPX_902.05,Dark_Cloud
PAPX_902.07,Gran_Turismo_3_-_A-Spec_PS2_Bundle
PAPX_902.08,Gran_Turismo_3_-_A-Spec_PS2_Bundle
PAPX_902.09,Gran_Turismo_3_-_A-Spec_PS2_Bundle
PAPX_902.11,Extermination
PAPX_902.12,Okage_-_Shadow_King
PAPX_902.22,Jak_and_Daxter_-_The_Lost_Frontier
PAPX_902.23,Jak_and_Daxter_-_The_Lost_Frontier
PAPX_902.25,Legaia_2_-_Duel_Saga
PAPX_902.30,Arc_the_Lad_-_Twilight_of_the_Spirits
PAPX_902.34,Katamari_Damacy
PAPX_902.35,XIII
PAPX_903.30,Ape_Escape_2
PAPX_905.01,Dark_Cloud
PAPX_905.06,Dark_Cloud_2
PAPX_905.08,Gran_Turismo_4
PAPX_905.11,Forbidden_Siren
PAPX_905.12,Gran_Turismo_4
PAPX_905.16,Jak_II
PAPX_905.17,Prince_of_Persia_-_Sands_of_Time
PAPX_905.20,Ratchet_and_Clank_-_Up_Your_Arsenal
PAPX_905.22,Genji_-_Dawn_of_the_Samurai
PAPX_905.23,Gran_Turismo_4
PBPX_952.01,Dead_or_Alive_2
PBPX_952.35,Ape_Escape_3
PBPX_955.02,Gran_Turismo_3_-_A-Spec_PS2_Bundle
PBPX_955.03,Gran_Turismo_3_-_A-Spec_PS2_Bundle
PBPX_955.16,Ratchet_and_Clank
PBPX_955.17,Network_Adaptor_Start-Up_Disc
PBPX_955.18,Network_Adaptor_Start-Up_Disc
PBPX_955.19,Network_Adaptor_Start-Up_Disc
PBPX_955.23,Gran_Turismo_4_-_Prologue
PBPX_955.24,Gran_Turismo_4_-_Prologue
PBPX_956.01,Gran_Turismo_4
PCPX_963.10,SSX
PCPX_963.11,Gran_Turismo_3_-_A-Spec_PS2_Bundle
PCPX_963.20,PaRappa_the_Rapper_2
PCPX_963.22,Ico
PCPX_963.24,Dual_Hearts
PCPX_963.30,Arc_the_Lad_-_Twilight_of_the_Spirits
PCPX_965.13,Gran_Turismo_3_-_A-Spec_PS2_Bundle
PCPX_966.09,Gran_Turismo_3_-_A-Spec_PS2_Bundle
PCPX_966.34,Gran_Turismo_4
PCPX_966.36,Forbidden_Siren
PCPX_966.49,Gran_Turismo_4
PCPX_966.57,Ape_Escape_3
PCPX_980.17,Ratchet_-_Deadlocked
PCPX_980.42,Hot_Shots_Tennis
SCAJ_100.01,MakaiSenkiDisgaea
SCAJ_200.01,Ratchet_and_Clank
SCAJ_200.04,hack_Vol3_-_Redemption
SCAJ_200.05,Guilty_Gear_XX
SCAJ_200.08,V-Rally_3
SCAJ_200.14,TimeSplitters
SCAJ_200.17,Sly_Cooper_and_the_Thievius_Raccoonus
SCAJ_200.19,Arc_the_Lad_-_Twilight_of_the_Spirits
SCAJ_200.21,Metal_Slug_3
SCAJ_200.22,Super_Robot_Taisen_-_Alpha_2nd
SCAJ_200.24,hack_Part_4_-_Quarantine
SCAJ_200.27,Tenchu_-_Wrath_of_Heaven
SCAJ_200.33,Guilty_Gear_XX_-_Reloaded
SCAJ_200.37,Monster_Farm_4
SCAJ_200.38,Arc_the_Lad_-_Twilight_of_the_Spirits
SCAJ_200.44,Tomb_Raider_-_The_Angel_of_Darkness
SCAJ_200.46,Forbidden_Siren
SCAJ_200.50,Fatal_Frame_2
SCAJ_200.55,Battle_Gear_3
SCAJ_200.56,Bujingai
SCAJ_200.59,Hot_Shots_Golf_FORE
SCAJ_200.62,Gako_Zouryuu_-_Crouching_Tiger_Hidden_Dragon
SCAJ_200.66,Gran_Turismo_4_-_Prologue
SCAJ_200.72,Ghost_in_the_Shell_-_Stand_Alone_Complex
SCAJ_200.73,Jak_II
SCAJ_200.75,Dragon_Quest_V_Bride_of_Sky
SCAJ_200.76,Armored_Core_-_Nexus
SCAJ_200.77,Armored_Core_-_Nexus
SCAJ_200.79,Katamari_Damacy
SCAJ_200.81,Xenosaga_Freaks
SCAJ_200.82,Gungrave_-_Overdose
SCAJ_200.86,Xenosaga_-_Episode_II_-_Jenseits_von_Gut_und_Bose
SCAJ_200.87,Xenosaga_-_Episode_II_-_Jenseits_von_Gut_und_Bose
SCAJ_200.90,Ape_Escape_-_Pumped_and_Primed
SCAJ_200.94,Hot_Shots_Golf_FORE
SCAJ_200.95,Shin_Megami_Tensei_-_Digital_Devil_Saga
SCAJ_200.96,Guilty_Gear_Isuka
SCAJ_200.99,Ico
SCAJ_201.04,Ace_Combat_5_-_The_Unsung_War
SCAJ_201.05,Armored_Core_-_Nine_Breaker
SCAJ_201.09,Ratchet_and_Clank_-_Up_Your_Arsenal
SCAJ_201.10,Dragon_Quest_VIII_Journey_of_Cursed_King
SCAJ_201.11,Crash_Bandicoot_Twinsanity
SCAJ_201.13,Dragon_Quest_Final_Fantasy_in_Itadaki_Street
SCAJ_201.14,10000_Bullets
SCAJ_201.16,Tekken_Nina_Williams_In_Death_By_Degree
SCAJ_201.19,GladiatorRoadToFreedom
SCAJ_201.20,Shin_Megami_Tensei_-_Digital_Devil_Saga_2
SCAJ_201.24,RomancingSaGa
SCAJ_201.25,Tekken_5
SCAJ_201.26,Tekken_5
SCAJ_201.32,Drakengard2
SCAJ_201.34,Genji_-_Dawn_of_the_Samurai
SCAJ_201.35,We_Love_Katamari
SCAJ_201.36,Ace_Combat_5_-_The_Unsung_War
SCAJ_201.38,Ape_Escape_3
SCAJ_201.41,Grandia_III
SCAJ_201.42,Grandia_III
SCAJ_201.43,Armored_Core_-_Last_Raven
SCAJ_201.44,Ape_Escape_3
SCAJ_201.46,Shadow_of_the_Colossus
SCAJ_201.49,Kingdom_Hearts_-_Final_Mix
SCAJ_201.50,Critical_Velocity
SCAJ_201.53,Code_Age_Commanders
SCAJ_201.54,Prince_of_Persia_-_Warrior_Within
SCAJ_201.57,Ratchet_-_Deadlocked
SCAJ_201.58,Demon_Chaos
SCAJ_201.61,Forbidden_Siren_2
SCAJ_201.64,Kingdom_Hearts_II
SCAJ_201.65,Bleach_-_Hanatareshi_Yabou
SCAJ_201.67,Forbidden_Siren_2
SCAJ_201.68,Rule_of_Rose
SCAJ_201.69,Dirge_of_Cerberus_-_Final_Fantasy_VII
SCAJ_201.71,Raw_Danger
SCAJ_201.72,Final_Fantasy_XII
SCAJ_201.73,Ace_Combat_Zero_-_The_Belkan_War
SCAJ_201.77,Valkyrie_Profile_2_-_Silmeria
SCAJ_201.79,Xenosaga_-_Episode_III_-_Also_Sprach_Zarathustra
SCAJ_201.80,Xenosaga_-_Episode_III_-_Also_Sprach_Zarathustra
SCAJ_201.81,Hot_Shots_Tennis
SCAJ_201.84,Dawn_of_Mana
SCAJ_201.90,God_of_War2
SCAJ_201.94,Hot_Shots_Golf_FORE
SCAJ_201.95,Ape_Escape_3
SCAJ_201.96,Shadow_of_the_Colossus
SCAJ_201.97,Valkyrie_Profile_2_-_Silmeria
SCAJ_201.98,Hot_Shots_Tennis
SCAJ_201.99,Tekken_5
